tname;tdate;ttext;tgeo
ГумБад;2016-07-30 13:28:28;#наука Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с ... https://t.co/avSqslp9nt;None
кила се'лай;2016-07-30 13:01:32;короче если очень оптимистично считать что они его из спбгу не заберут то осталось 12 человек конкурентов  :);None
кила се'лай;2016-07-30 12:57:49;так где та моя суперсхема с теми кто подал оригинал в спбгу;None
кила се'лай;2016-07-30 12:50:39;типа это хороший вуз, но он средней престижности нахуя портить людям со средними баллами шансы если ты можешь поступить в спбгу??;None
spb1724;2016-07-30 12:45:09;Друзья, с 8 августа в СПбГУ стартует международная молодежная школа "Различные аспекты математической физики&ampq.. https://t.co/1w3nd2suS7;None
СанСаныч;2016-07-30 11:52:31;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Жорес Сафонов;2016-07-30 11:34:58;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
Дарья К;2016-07-30 11:11:30;СПбГУ слоупоки;None
Карельские Вести;2016-07-30 10:38:19;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/ChIemGhCgF https://t.co/Pr8L8hz5JT;None
Легкая Невыносимость;2016-07-30 10:13:44;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
ИТАР-ТАСС;2016-07-30 09:51:49;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В… https://t.co/b27aOrOdVv;None
s;2016-07-30 09:35:20;@bessmalera итид, в спбгу совсем немного до бюджета не хватило;None
IrinaKingsize;2016-07-30 09:33:08;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
Алый Парус;2016-07-30 09:30:41;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью этого метода можно, в…;None
1001portails Russie;2016-07-30 09:24:51;Математики СПбГУ разработали уникальную... https://t.co/sm0RSmvLKy https://t.co/jiYoCDSSGT;None
Сафар Сафаров;2016-07-30 09:17:09;#наука Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с ... https://t.co/YbyX9DNbg3;None
AMBest;2016-07-30 09:14:41;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках - https://t.co/aYj8KPPTWI;None
СубКомментарий;2016-07-30 09:11:16;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью этого метода можно, в…;None
ViolaWagner;2016-07-30 09:10:18;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
еления;2016-07-30 09:08:10;Когда-то я яро настроена была поступать в спбгу. Лол ору;None
VigorNews;2016-07-30 09:07:32;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках #VigorNews https://t.co/brQvd9qanU;None
Top Kino;2016-07-30 09:04:14;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/e5CPtivx3F https://t.co/EhIJvQ9jzX;None
Сергей Сергеев;2016-07-30 09:03:16;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/uGkWdWxEVj;None
NSFW 18+ HOT;2016-07-30 09:03:12;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью... https://t.co/PGewpseF6M;None
Ksusha;2016-07-30 09:03:11;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
