tdate;ttext;tgeo
2016-07-18 08:42:09;Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/W0OsBRTvfl;None
2016-07-18 08:34:02;Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/nk3h27IfDs | https://t.co/vAtDea2uXa;None
2016-07-18 08:33:19;Дайджест Университета ИТМО: Резиденты наших акселераторов! https://t.co/9OYeo4hVHR itmo ★;None
2016-07-18 08:32:23;Дайджест Университета ИТМО: Резиденты наших акселераторов: С 2012 года в России… https://t.co/XjlfKptuKK;None
2016-07-18 08:27:13;Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/WERqKcncjJ;None
2016-07-18 08:09:12;RT habrahabr:  Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/iOl3rU6WIY https://t.co/dOp3chHqZG;None
2016-07-18 07:58:50;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:56:48;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:56:40;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:55:57;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:54:50;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:54:41;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 07:38:38;Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/yug73z8Akh #habr;None
2016-07-18 07:34:07;Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/TJ9j6B6ZrL;None
2016-07-18 07:10:05;Дайджест Университета ИТМО: Резиденты наших акселераторов: https://t.co/wmwCCVowXX https://t.co/7C1ztk33sp;None
2016-07-18 07:07:46;Дайджест Университета ИТМО: Резиденты наших акселераторов - https://t.co/n3NePH0dJE;None
2016-07-17 22:19:00;ИТМО, раздел "Инновации", и особенно лекторий - офигенно. Не разочаровали. ИТМО настолько увлёк, что захотел туда сам поступить.;None
2016-07-17 18:00:26;ИТМО @spbifmo_en сделали крутой стенд на #vkfest. Хотелось бы видеть больше ВУЗов, которые делают подобные вещи на таких мероприятиях.;None
2016-07-17 15:00:45;Очередь у нашего шатра продолжает расти! #vkfest нисколько не сбавляет обороты! #итмо #itmo #vkfest2016 https://t.co/XtuPl8Wn6V;None
